"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X9828",16,0,0.00017,0.001054,0.00046,0.000559,0.000529,0.000516,0.008466,4.8e-05,0.000427,0.000631,0,0.000191
"X9892",16,0,0.000339,0.000671,0.000417,0.000522,0.000483,5e-04,0.007733,2.2e-05,0.000437,0.00053,0,8.7e-05
"X9901",16,0,0.000119,0.000855,0.000339,0.00049,0.000422,0.000409,0.006758,4.6e-05,0.000324,0.00052,0,0.000184
"X9906",16,0,1e-04,0.001345,0.000355,0.000611,0.000496,0.000484,0.007938,7e-05,0.000347,0.000645,0,0.000279
"X9907",16,0,0.000418,0.000864,0.000514,0.000632,0.000569,0.000538,0.009098,2.7e-05,0.00051,0.000627,0,0.000109
"X9914",16,0,3.1e-05,0.000844,0.000386,0.000668,0.000505,0.000496,0.008082,5e-05,0.000399,0.000612,0,2e-04
"X9929",16,0,2e-05,0.000702,0.000419,0.000546,0.00046,0.00045,0.007359,3.6e-05,0.000383,0.000537,0,0.000144
"X9935",16,0,0.000332,0.000646,0.000434,0.00054,0.000485,0.000466,0.007755,2.2e-05,0.000438,0.000531,0,8.7e-05
"X9937",16,0,0.000191,0.000816,0.000413,0.000591,0.000491,0.000492,0.00785,4.2e-05,0.000402,0.00058,0,0.000167
"X9969",16,0,0.000199,0.001132,4e-04,0.000647,0.000524,0.000439,0.008386,5.9e-05,0.000398,0.00065,0,0.000237
"X9979",16,0,0.000109,0.000815,0.000378,0.000701,0.000511,0.000512,0.008172,5.5e-05,0.000393,0.000629,0,0.000222
"X9982",16,0,0.000317,0.000569,0.000361,0.000476,0.00043,0.000434,0.006883,2.1e-05,0.000385,0.000475,0,8.4e-05
"X9988",16,0,0.000266,0.000822,0.000361,0.000553,0.00045,0.000407,0.007195,3.8e-05,0.000369,0.000531,0,0.000152
"X9992",16,0,9.9e-05,0.001062,0.000273,0.000642,0.000473,0.00036,0.007567,7.3e-05,0.000317,0.000629,0,0.000292
"X9994",16,0,8e-05,0.001076,0.000398,0.000628,0.000545,0.000539,0.008719,6e-05,0.000417,0.000673,0,0.00024
"X10001",16,0,0.000387,0.000941,0.000527,0.000683,0.000616,0.000605,0.009855,3.3e-05,0.000545,0.000687,0,0.000134
"X10017",16,0,0.000345,0.000671,0.000432,0.000496,0.000481,0.000455,0.007696,2.2e-05,0.000434,0.000528,0,8.9e-05
"X10043",16,0,0.000269,0.000871,0.00041,0.000627,0.000516,0.000475,0.008249,3.8e-05,0.000434,0.000597,0,0.000153
"X10078",16,0,0.000292,0.001102,0.000434,0.000652,0.000573,0.000543,0.009172,5.2e-05,0.000463,0.000683,0,0.000207
"X10081",16,0,0.000242,0.00141,0.000391,0.000731,0.000584,0.000504,0.009336,7.5e-05,0.000424,0.000743,0,0.000299
"X10088",16,0,0.000266,0.000763,0.000435,0.000711,0.000569,0.000605,0.009098,3.9e-05,0.000486,0.000652,0,0.000156
"X10118",16,0,0.00031,0.001197,0.000573,0.000745,0.000668,0.000657,0.010683,5.2e-05,0.000557,0.000778,0,0.000208
"X10126",16,0,0.000349,0.001368,0.000509,0.00068,0.000638,0.000617,0.010202,6.1e-05,0.000508,0.000768,0,0.000244
"X10127",16,0,0.000317,0.000821,0.000434,0.000718,0.000548,0.000497,0.008761,4.5e-05,0.000452,0.000643,0,0.000179
"X10150",16,0,0.000271,0.001389,0.00037,0.000505,0.000496,0.000408,0.007941,6.6e-05,0.000355,0.000637,0,0.000265
"X10162",16,0,0.000187,0.002339,0.000394,0.000741,0.000728,0.00059,0.011641,0.000138,0.000434,0.001022,0,0.000552
"X10186",16,0,0.000443,0.000916,0.000506,0.00068,0.000612,0.000595,0.009787,3.4e-05,0.000539,0.000684,0,0.000136
"X10196",16,0,0.000243,0.000743,0.000309,0.000475,0.000406,0.00039,0.006497,3.4e-05,0.000333,0.000479,0,0.000136
"X10197",16,0,0.000319,0.001958,0.000504,0.000936,0.000773,0.000723,0.012369,9.8e-05,0.000565,0.000981,0,0.00039
"X10218",16,0,0.000323,0.000721,0.000388,0.000562,0.000496,0.000503,0.007943,3.1e-05,0.000431,0.000561,0,0.000122
"X10219",16,0,0.000217,0.002786,0.00037,0.000954,0.000952,0.00056,0.015235,0.000227,0.000468,0.001437,1e-06,0.00091
"X10244",16,0,0.000148,0.001571,0.000303,0.001176,0.000653,0.000362,0.010447,0.000122,0.000392,0.000914,0,0.000489
"X10247",16,0,0.000216,0.000806,0.000443,0.000592,0.000509,0.000484,0.008138,4e-05,0.000423,0.000594,0,0.000161
"X10248",16,0,0.000329,0.000725,0.000432,0.000542,0.000497,0.000507,0.007948,2.4e-05,0.000446,0.000548,0,9.5e-05
"X10250",16,0,0.000277,0.000736,0.000408,0.000596,0.000513,0.000535,0.008213,3.2e-05,0.000445,0.000582,0,0.000128
"X10277",16,0,0.000416,0.000888,0.000514,0.000641,0.000578,0.000538,0.00925,3.1e-05,0.000512,0.000644,0,0.000124
"X10291",16,0,0.000136,0.000783,0.000258,0.000555,0.000431,0.000403,0.006901,4.9e-05,0.000326,0.000537,0,0.000198
"X10292",16,0,0.000299,0.000887,0.000398,0.00067,0.000552,0.000521,0.008833,4.9e-05,0.000448,0.000656,0,0.000195
"X10294",16,0,0.000197,0.001677,0.000305,0.000642,0.000604,0.000569,0.009664,9.8e-05,0.000396,0.000812,0,0.00039
"X10305",16,0,0.000339,0.000628,0.000418,0.000514,0.000478,0.000484,0.007654,1.9e-05,0.000437,0.000519,0,7.7e-05
"X10307",16,0,0.000128,0.001585,0.000197,0.000366,0.000412,0.000244,0.006591,0.000101,0.000196,0.000628,0,0.000405
"X10342",16,0,0.000133,0.000361,0.000174,0.000279,0.00023,0.000203,0.003687,1.9e-05,0.00019,0.000271,0,7.6e-05
"X10346",16,0,0.000327,0.001119,0.000411,0.000583,0.000555,0.000507,0.008878,5.1e-05,0.000446,0.000664,0,0.000204
"X10351",16,0,1.7e-05,4.7e-05,2.5e-05,3.4e-05,3e-05,3.2e-05,0.00048,2e-06,2.6e-05,3.4e-05,0,8e-06
