"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X13969",16,0,0.000185,0.000885,0.000287,0.000574,0.000448,0.000421,0.00716,5.3e-05,0.000335,0.00056,0,0.00021
"X13970",16,0,0.000239,0.001164,0.00035,0.000497,0.000494,0.000431,0.007899,6.5e-05,0.000355,0.000633,0,0.000261
"X13980",16,0,0.00022,0.00103,0.000307,0.000699,0.000526,0.000473,0.008415,6.7e-05,0.000383,0.000669,0,0.000268
"X14044",16,0,0.000103,0.000453,0.000161,0.000224,0.000204,0.000179,0.003264,2.1e-05,0.000159,0.000249,0,8.5e-05
"X14051",16,0,0.000237,0.000488,0.000344,0.000442,0.000383,0.000387,0.006124,1.7e-05,0.000345,0.00042,0,7e-05
"X14057",16,0,8.9e-05,0.001925,0.000347,0.000854,0.00069,0.000463,0.011038,0.000132,0.000408,0.000972,0,0.00053
"X14083",16,0,0.000126,0.000528,0.000231,0.000308,0.000284,0.000256,0.004549,2.8e-05,0.000225,0.000344,0,0.000111
"X14086",16,0,0.000294,0.001266,0.000413,0.000883,0.000627,0.000546,0.010025,7e-05,0.000477,0.000776,0,0.000281
"X14094",16,0,0.000274,0.000693,0.000303,0.000538,0.000437,0.000371,0.006989,3.7e-05,0.000358,0.000516,0,0.000148
"X14101",16,0,8.3e-05,0.000765,0.000125,0.000204,0.000221,0.000176,0.003536,4.5e-05,0.000125,0.000316,0,0.000179
"X14118",16,0,0.000301,0.000568,0.000354,0.000436,0.000396,0.00038,0.006336,1.7e-05,0.00036,0.000432,0,6.8e-05
"X14125",16,0,0.000162,0.00164,0.00034,0.000759,0.000592,0.000569,0.00948,9.4e-05,0.000392,0.000793,0,0.000377
"X14126",16,0,0.000262,0.000909,0.000419,0.000586,0.000509,0.000493,0.008151,3.9e-05,0.000427,0.000592,0,0.000155
