"","nobs","NAs","Minimum","Maximum","1. Quartile","3. Quartile","Mean","Median","Sum","SE Mean","LCL Mean","UCL Mean","Variance","Stdev"
"X1222",16,0,0.00027,0.000641,0.000306,0.000407,0.000377,0.000364,0.006029,2.3e-05,0.000327,0.000427,0,9.4e-05
"X1226",16,0,0.000179,0.00101,0.000262,0.00032,0.00034,0.000286,0.005435,4.8e-05,0.000236,0.000443,0,0.000194
"X1228",16,0,0.000323,0.00092,0.000431,0.00053,0.000498,0.000479,0.007965,3.4e-05,0.000425,0.00057,0,0.000136
"X1237",16,0,0.000199,0.00075,0.000315,0.000541,0.000432,0.000409,0.006909,3.9e-05,0.000349,0.000514,0,0.000154
"X1256",16,0,0.000311,0.000495,0.00036,0.000444,0.000399,0.000402,0.006389,1.3e-05,0.000371,0.000428,0,5.4e-05
"X1264",16,0,0.000314,0.001161,0.000616,0.000947,0.000756,0.000729,0.012101,6.2e-05,0.000624,0.000889,0,0.000249
"X1268",16,0,0.000212,0.000651,0.000295,0.000359,0.000347,0.000327,0.005551,2.8e-05,0.000288,0.000406,0,0.000111
"X1269",16,0,0.000234,0.000658,0.000315,0.000404,0.000381,0.000357,0.006098,2.7e-05,0.000323,0.000439,0,0.000109
"X1271",16,0,0.00018,0.000424,0.000227,0.000325,0.000275,0.000259,0.004397,1.7e-05,0.000239,0.000311,0,6.7e-05
"X1284",16,0,0.000279,0.001114,0.000389,0.00049,0.000513,0.000439,0.008204,5.9e-05,0.000388,0.000638,0,0.000234
"X1285",16,0,0.000239,0.000564,0.000375,0.000485,0.000421,0.000406,0.006743,2.2e-05,0.000374,0.000469,0,9e-05
"X1292",16,0,0.000262,0.000613,0.000336,0.000448,0.000403,4e-04,0.006447,2.4e-05,0.000352,0.000454,0,9.5e-05
"X1298",16,0,0.000163,0.003459,0.000245,0.000469,0.00058,0.000339,0.009281,2e-04,0.000154,0.001006,1e-06,8e-04
"X1303",16,0,0.000254,0.000683,0.000294,0.000378,0.000361,0.000317,0.005773,3e-05,0.000298,0.000424,0,0.000118
"X1320",16,0,0.000258,0.000547,0.000346,0.00041,0.00038,0.000358,0.006083,1.8e-05,0.000341,0.000419,0,7.4e-05
"X1325",16,0,0.00025,0.000594,0.000291,0.000431,0.000362,0.000338,0.005785,2.5e-05,0.000309,0.000414,0,9.9e-05
"X1329",16,0,0.000303,0.000834,0.00043,0.000524,0.000488,0.000484,0.0078,2.9e-05,0.000425,0.00055,0,0.000117
"X1332",16,0,0.000212,0.000529,0.000328,0.000435,0.000377,0.000382,0.006026,2.1e-05,0.000331,0.000422,0,8.6e-05
"X1336",16,0,7.4e-05,0.001589,0.000179,0.000917,0.000618,0.000446,0.009891,0.000133,0.000335,0.000901,0,0.000531
"X1348",16,0,0.000273,0.000531,0.000332,0.000413,0.000384,0.00038,0.006151,1.7e-05,0.000348,0.000421,0,6.8e-05
"X1349",16,0,6.7e-05,0.000847,0.000211,0.000495,0.000376,0.000362,0.006011,5.9e-05,0.000251,0.000501,0,0.000235
"X1350",16,0,0.000361,0.003161,0.000557,0.001976,0.001144,0.00077,0.018297,0.000219,0.000677,0.00161,1e-06,0.000875
"X1364",16,0,0.000151,0.001431,0.000217,0.000422,0.000393,0.000346,0.006291,7.6e-05,0.000232,0.000554,0,0.000303
"X1380",16,0,0.000212,0.001083,0.000296,0.000545,0.000427,0.000328,0.006835,5.5e-05,0.000311,0.000544,0,0.000218
"X1386",16,0,0.000384,0.000697,0.000443,0.000564,0.000513,0.000497,0.0082,2.4e-05,0.00046,0.000565,0,9.8e-05
"X1389",16,0,0.00026,0.000795,0.000314,0.000556,0.000458,0.000497,0.007336,4e-05,0.000373,0.000544,0,0.000161
"X1410",16,0,0.000268,0.000753,0.000304,0.000433,0.00039,0.000376,0.00624,3e-05,0.000326,0.000454,0,0.00012
