"","RSD"
"X6313",0.104469
"X6316",0.095045
"X6322",0.026549
"X6337",0.103978
"X6340",0.084028
"X6343",0.009704
"X6374",0.049084
"X6378",0.004289
"X6387",0.111423
"X6403",0.132884
"X6415",0.18831
"X6432",0.095837
"X6438",0.025385
"X6441",0.013418
"X6444",0.079974
"X6450",0.05328
"X6456",0.066536
"X6469",0.095865
"X6475",0.099191
"X6488",0.133992
"X6489",0.06234
"X6494",0.041933
"X6516",0.095801
"X6522",0.008908
"X6530",0.127061
"X6531",0.12699
"X6539",0.127693
"X6565",0.042648
"X6581",0.103239
"X6583",0.058469
"X6592",0.01415
"X6594",0.030082
"X6600",0.153109
"X6601",0.028737
"X6607",0.013745
"X6614",0.095316
"X6623",0.102308
"X6624",0.051016
"X6643",0.127206
"X6648",0.188534
"X6651",0.010706
"X6658",0.049755
"X6668",0.01577
"X6679",0.080886
"X6680",0.201802
"X6698",0.165922
"X6712",0.078403
"X6716",0.040249
"X6726",0.003165
"X6732",0.093694
"X6758",0.065801
"X6767",0.117116
"X6794",0.003285
"X6809",0.078624
"X6818",0.325401
"X6834",0.071996
"X6838",0.006401
"X6851",0.03937
"X6858",0.088549
"X6863",0.106614
"X6868",0.013826
"X6877",0.147343
"X6878",0.131492
"X6890",0.059245
"X6909",0.103768
"X6911",0.02552
"X6931",0.026263
"X6949",0.021253
"X6955",0.02075
"X6986",0.026213
"X6995",0.002762
"X7001",0.0671
"X7009",0.007059
"X7017",0.025329
"X7020",0.023447
"X7021",0.040487
"X7056",0.018044
"X7062",0.028406
"X7063",0.007947
"X7064",0.071134
"X7069",0.06477
"X7081",0.102397
"X7091",0.215638
"X7097",0.059637
"X7112",0.051084
"X7114",0.038127
"X7162",0.035909
"X7170",0.120127
"X7171",0.075597
"X7189",0.216066
"X7190",0.072118
"X7204",0.048963
"X7220",0.045781
"X7247",0.081785
"X7251",0.031323
"X7315",0.131075
"X7319",0.065282
"X7326",0.044181
"X7328",0.013696
"X7342",0.043231
"X7352",0.1543
"X7365",0.06101
"X7373",0.076059
"X7380",0.048656
"X7408",0.023114
"X7409",0.022714
"X7410",0.099287
"X7413",0.02423
"X7429",0.0736
"X7458",0.120635
"X7468",0.090658
"X7470",0.00829
"X7475",0.003581
"X7485",0.127736
"X7499",0.126818
"X7500",0.00567
"X7503",0.056095
"X7505",0.162179
"X7510",0.054275
"X7518",0.024017
"X7522",0.061237
"X7524",0.061928
"X7541",0.087488
"X7551",0.0423
"X7571",0.01593
"X7576",0.124721
"X7582",0.134038
"X7590",0.077495
"X7591",0.027916
"X7592",0.003062
"X7595",0.102759
"X7604",0.101466
"X7608",0.115475
"X7625",0.006653
"X7626",0.065818
"X7635",0.036898
"X7649",0.060432
"X7653",0.067378
"X7654",0.065704
"X7663",0.028906
"X7695",0.008241
"X7718",0.128682
"X7726",0.074109
"X7731",0.137689
"X7733",0.119205
"X7781",0.093294
"X7787",0.012928
"X7814",0.21844
"X7824",0.06025
"X7834",0.054835
"X7836",0.069108
"X7838",0.099749
"X7843",0.03247
"X7846",0.054745
"X7859",0.205347
"X7870",0.078277
"X7893",0.083361
"X7895",0.193246
"X7901",0.05265
"X7935",0.100025
"X7945",0.053779
"X7950",0.020688
"X7959",0.031343
"X7972",0.073741
"X7980",0.05473
"X7982",0.017886
"X8003",0.003285
"X8027",0.046218
"X8030",0.07067
"X8034",0.066282
"X8035",0.128349
"X8036",0.047953
"X8045",0.219535
"X8053",0.026821
"X8062",0.142074
"X8071",0.119458
"X8081",0.056018
"X8089",0.078851
"X8094",0.110067
"X8138",0.076294
"X8141",0.030291
"X8156",0.059484
"X8166",0.058964
"X8191",0.119531
"X8208",0.042404
"X8228",0.009012
"X8252",0.070201
"X8259",0.164086
"X8280",0.038468
"X8282",0.000376
"X8283",0.164024
"X8305",0.007755
"X8308",0.098657
"X8309",0.099109
"X8316",0.103867
"X8334",0.0563
"X8335",0.075663
"X8342",0.050557
"X8347",0.0108
"X8354",0.085091
"X8359",0.12244
"X8361",0.036398
"X8368",0.207215
"X8381",0.021405
"X8394",0.081834
"X8395",0.011894
"X8431",0.03021
"X8432",0.087511
"X8435",0.041545
"X8436",0.047319
"X8439",0.039638
"X8440",0.026757
"X8452",0.003486
"X8465",0.076359
"X8484",0.152384
"X8485",0.063179
"X8503",0.145544
"X8507",0.056057
"X8537",0.069909
"X8551",0.104858
"X8586",0.147808
"X8607",0.168811
"X8631",0.123725
"X8648",0.123323
"X8662",0.078127
"X8692",0.028358
"X8700",0.048587
"X8702",0.039431
"X8704",0.021994
"X8712",0.166624
"X8721",0.007105
"X8754",0.010696
"X8757",0.023021
"X8770",0.194626
"X8782",0.12053
"X8796",0.088161
"X8797",0.027501
"X8800",0.032331
"X8812",0.078925
"X8824",0.020699
"X8827",0.079689
"X8828",0.005192
"X8834",0.137926
"X8845",0.065146
"X8850",0.058873
"X8866",0.055627
"X8879",0.15131
"X8883",0.12529
"X8893",0.011342
"X8896",0.135107
"X8902",0.102259
"X8918",0.078844
"X8920",0.02388
"X8938",0.007255
"X8942",0.107111
"X8943",0.069942
"X8945",0.001849
"X8963",0.079862
"X8976",0.137021
"X8978",0.062435
"X8980",0.02797
"X8984",0.114197
"X8991",0.09454
"X8998",0.013026
"X9037",0.042345
"X9038",0.009333
"X9039",0.089727
"X9049",0.058645
"X9061",0.127225
"X9066",0.020785
"X9067",0.124837
"X9068",0.134939
"X9070",0.046955
"X9071",0.119469
"X9075",0.186673
"X9113",0.083537
"X9114",0.072376
"X9119",0.119632
"X9125",0.050003
"X9133",0.05
"X9146",0.069609
"X9147",0.060412
"X9174",0.077444
"X9179",0.047865
"X9185",0.248324
"X9229",0.093903
"X9231",0.070727
"X9235",0.053282
"X9247",0.005131
"X9254",0.025795
"X9279",0.122085
"X9280",0.098394
"X9282",0.102299
"X9286",0.11401
"X9296",0.028774
"X9303",0.142478
"X9320",0.057587
"X9328",0.085314
"X9350",0.085142
"X9351",0.073493
"X9358",0.028084
"X9359",0.045761
"X9364",0.064645
"X9397",0.063771
"X9409",0.171193
"X9432",0.010563
"X9438",0.095737
"X9440",0.050983
"X9446",0.023992
"X9449",0.160721
"X9450",0.031889
"X9458",0.015561
"X9481",0.020121
"X9514",0.011041
"X9527",0.093062
"X9528",0.022293
"X9540",0.098297
"X9547",0.073635
"X9561",0.088276
"X9565",0.004058
"X9573",0.10349
"X9591",0.150151
"X9594",0.09567
"X9596",0.124333
"X9602",0.021081
"X9620",0.002895
"X9622",0.111608
"X9624",0.16017
"X9639",0.137246
"X9659",0.120179
"X9666",0.111686
"X9688",0.035103
"X9696",0.013717
"X9698",0.003961
"X9699",0.098772
"X9707",0.103956
"X9716",0.061027
"X9720",0.113803
"X9722",0.034586
"X9733",0.041627
"X9741",0.003448
"X9780",0.031869
"X9781",0.142742
"X9791",0.064382
"X9800",0.084403
"X9809",0.031024
"X9810",0.026722
"X9828",0.02618
"X9892",0.10156
"X9901",0.036468
"X9906",0.027381
"X9907",0.020157
"X9914",0.019098
"X9929",0.007039
"X9935",0.101992
"X9937",0.145022
"X9969",0.180488
"X9979",0.175927
"X9982",0.084019
"X9988",0.26984
"X9992",0.023103
"X9994",0.12417
"X10001",0.151617
"X10017",0.069088
"X10043",0.056697
"X10078",0.020981
"X10081",0.095147
"X10088",0.032418
"X10118",0.082444
"X10126",0.194264
"X10127",0.132645
"X10150",0.062711
"X10162",0.095754
"X10186",0.054987
"X10196",0.090213
"X10197",0.09245
"X10218",0.02178
"X10219",0.029595
"X10244",0.067788
"X10247",0.142996
"X10248",0.072419
"X10250",0.167022
"X10277",0.00814
"X10291",0.050519
"X10292",0.089397
"X10294",0.069243
"X10305",0.010833
"X10307",0.050853
"X10342",0.134121
"X10346",0.007436
"X10351",0.077351
"X10353",0.020719
"X10358",0.011558
"X10362",0.009583
"X10365",0.130324
"X10376",0.02147
"X10403",0.156692
"X10427",0.009042
"X10440",0.010972
"X10455",0.120501
"X10461",0.064024
"X10466",0.101768
"X10484",0.138901
"X10487",0.028909
"X10525",0.13143
"X10532",0.055963
"X10537",0.040945
"X10577",0.025176
"X10588",0.144536
"X10629",0.135327
"X10633",0.026027
"X10661",0.087822
"X10700",0.031168
"X10727",0.097703
"X10731",0.084429
"X10733",0.012615
"X10760",0.140674
"X10793",0.012248
"X10819",0.01917
"X10826",0.033157
"X10855",0.171416
"X10877",0.069836
"X10890",0.140861
"X10903",0.022038
"X10919",0.096655
"X10920",0.0549
"X10953",0.064193
"X10959",0.061935
"X10965",0.032162
"X10995",0.005041
"X10996",0.167993
"X10997",0.084566
"X11004",0.032829
"X11007",0.188297
"X11021",0.016738
"X11052",0.154537
"X11083",0.032036
"X11096",0.018809
"X11145",0.211918
"X11148",0.075748
"X11161",0.034491
"X11166",0.117784
"X11168",0.008731
"X11172",0.003927
"X11179",0.159076
"X11212",0.090602
"X11233",0.054103
"X11242",0.057853
"X11243",0.006227
"X11245",0.07476
"X11261",0.127866
"X11301",0.122848
"X11303",0.080243
"X11307",0.123515
"X11342",0.030341
"X11343",0.127239
"X11346",0.044413
"X11348",0.009133
"X11351",0.092249
"X11358",0.05904
"X11364",0.066752
"X11381",0.067919
"X11384",0.073673
"X11409",0.098221
"X11419",0.079548
"X11434",0.044295
"X11440",0.004794
"X11451",0.029874
"X11455",0.192108
"X11460",0.031782
"X11476",0.01075
"X11518",0.133883
"X11519",0.041608
"X11520",0.010803
"X11541",0.141396
"X11548",0.046494
"X11605",0.022327
"X11613",0.002026
"X11707",0.056909
"X11710",0.175761
"X11712",0.042499
"X11743",0.07983
"X11744",0.075287
"X11759",0.105651
"X11778",0.120528
"X11782",0.056023
"X11803",0.052705
"X11843",0.005149
"X11847",0.204692
"X11868",0.10363
"X11887",0.195535
"X11895",0.015482
"X11912",0.026311
"X11919",0.019592
"X11921",0.017005
"X11974",0.073222
"X11982",0.094265
"X12007",0.055945
"X12017",0.004076
"X12027",0.007243
"X12046",0.141944
"X12047",0.059717
"X12052",0.016765
"X12081",0.097319
"X12092",0.073548
"X12093",0.022376
"X12094",0.050827
"X12098",0.172781
"X12099",0.020762
"X12104",0.017408
"X12106",0.041955
"X12117",0.034131
"X12180",0.083544
"X12238",0.024492
"X12244",0.147841
"X12247",0.036333
"X12298",0.019609
"X12355",0.020463
"X12410",0.065047
"X12420",0.153901
"X12447",0.129285
"X12469",0.148179
"X12474",0.000836
"X12475",0.110314
"X12508",0.169368
"X12513",0.046907
"X12523",0.055547
"X12534",0.019019
"X12536",0.037696
"X12558",0.091905
"X12590",0.064629
"X12595",0.089101
