"","AUC"
"X7625",0.53515625
"X7626",0.5078125
"X7635",0.56640625
"X7649",0.53515625
"X7653",0.5390625
"X7654",0.50390625
"X7663",0.55078125
"X7695",0.5
"X7718",0.55859375
"X7726",0.53515625
"X7731",0.6796875
"X7733",0.70703125
"X7781",0.5625
"X7787",0.51953125
"X7814",0.7265625
"X7824",0.6875
"X7834",0.5703125
"X7836",0.58203125
"X7838",0.671875
"X7843",0.53125
"X7846",0.55859375
"X7859",0.546875
"X7870",0.5390625
"X7893",0.578125
"X7895",0.58203125
"X7901",0.5546875
"X7935",0.61328125
"X7945",0.52734375
"X7950",0.66796875
"X7959",0.5390625
"X7972",0.51953125
"X7980",0.58984375
"X7982",0.62109375
"X8003",0.55078125
"X8027",0.53125
"X8030",0.60546875
"X8034",0.59765625
"X8035",0.625
"X8036",0.51953125
"X8045",0.54296875
"X8053",0.61328125
"X8062",0.69921875
"X8071",0.5234375
"X8081",0.66015625
"X8089",0.5234375
"X8094",0.70703125
"X8138",0.51171875
"X8141",0.51171875
"X8156",0.57421875
"X8166",0.53125
"X8191",0.56640625
"X8208",0.53125
"X8228",0.515625
"X8252",0.53125
"X8259",0.6171875
"X8280",0.51953125
"X8282",0.546875
"X8283",0.54296875
"X8305",0.69140625
"X8308",0.68359375
"X8309",0.6015625
"X8316",0.55078125
"X8334",0.73828125
"X8335",0.55078125
"X8342",0.51953125
"X8347",0.671875
"X8354",0.8671875
"X8359",0.72265625
"X8361",0.546875
"X8368",0.58203125
"X8381",0.5703125
"X8394",0.5390625
"X8395",0.5859375
"X8431",0.62109375
"X8432",0.52734375
"X8435",0.54296875
"X8436",0.6015625
"X8439",0.6484375
"X8440",0.67578125
"X8452",0.7421875
"X8465",0.98046875
"X8484",0.53515625
"X8485",0.5234375
"X8503",0.58984375
"X8507",0.625
"X8537",0.51171875
"X8551",0.54296875
"X8586",0.61328125
"X8607",0.61328125
"X8631",0.51171875
"X8648",0.63671875
"X8662",0.53125
"X8692",0.5546875
"X8700",0.60546875
"X8702",0.5234375
"X8704",0.6015625
"X8712",0.55859375
"X8721",0.58984375
"X8754",0.64453125
"X8757",0.5703125
"X8770",0.6484375
"X8782",0.64453125
"X8796",0.6015625
"X8797",0.53515625
"X8800",0.57421875
"X8812",0.53125
"X8824",0.7109375
"X8827",0.70703125
"X8828",0.546875
"X8834",0.71875
"X8845",0.546875
"X8850",0.61328125
"X8866",0.609375
"X8879",0.58203125
"X8883",0.515625
"X8893",0.60546875
"X8896",0.61328125
"X8902",0.5078125
"X8918",0.52734375
"X8920",0.69140625
"X8938",0.578125
"X8942",0.5
"X8943",0.51953125
"X8945",0.5625
"X8963",0.5859375
"X8976",0.55859375
"X8978",0.609375
"X8980",0.52734375
"X8984",0.640625
"X8991",0.53125
"X8998",0.57421875
"X9037",0.83203125
"X9038",0.7265625
"X9039",0.58984375
"X9049",0.83984375
"X9061",0.5625
"X9066",0.5234375
"X9067",0.5
"X9068",0.5546875
"X9070",0.53125
"X9071",0.5078125
"X9075",0.5625
"X9113",0.55859375
"X9114",0.5703125
"X9119",0.55078125
"X9125",0.5625
"X9133",0.59765625
"X9146",0.51953125
"X9147",0.625
"X9174",0.52734375
"X9179",0.55859375
"X9185",0.62890625
"X9229",0.52734375
"X9231",0.51953125
"X9235",0.64453125
"X9247",0.50390625
"X9254",0.61328125
"X9279",0.640625
"X9280",0.515625
"X9282",0.6796875
"X9286",0.62109375
"X9296",0.8125
"X9303",0.6796875
"X9320",0.51171875
"X9328",0.6796875
"X9350",0.51953125
"X9351",0.58203125
"X9358",0.51171875
"X9359",0.52734375
"X9364",0.58203125
"X9397",0.6484375
"X9409",0.6796875
"X9432",0.59375
"X9438",0.52734375
"X9440",0.578125
"X9446",0.5546875
"X9449",0.57421875
"X9450",0.65234375
"X9458",0.578125
"X9481",0.546875
"X9514",0.5703125
"X9527",0.61328125
"X9528",0.6015625
"X9540",0.54296875
"X9547",0.60546875
"X9561",0.59765625
"X9565",0.53125
"X9573",0.51171875
"X9591",0.5078125
"X9594",0.58203125
"X9596",0.6015625
"X9602",0.57421875
"X9620",0.66015625
"X9622",0.6875
"X9624",0.51953125
"X9639",0.6171875
"X9659",0.5625
"X9666",0.609375
"X9688",0.54296875
"X9696",0.53515625
"X9698",0.546875
"X9699",0.58203125
"X9707",0.7109375
"X9716",0.5625
"X9720",0.69140625
"X9722",0.734375
"X9733",0.53125
"X9741",0.59375
"X9780",0.57421875
"X9781",0.51953125
"X9791",0.55078125
"X9800",0.5625
"X9809",0.875
"X9810",0.921875
"X9828",0.58203125
"X9892",0.51171875
"X9901",0.54296875
"X9906",0.80859375
"X9907",0.51953125
"X9914",0.56640625
"X9929",0.53515625
"X9935",0.53515625
"X9937",0.57421875
"X9969",0.5625
"X9979",0.515625
"X9982",0.515625
"X9988",0.55859375
"X9992",0.58984375
"X9994",0.6015625
"X10001",0.5625
"X10017",0.63671875
"X10043",0.5859375
"X10078",0.515625
"X10081",0.53515625
"X10088",0.55859375
"X10118",0.56640625
"X10126",0.5
"X10127",0.5234375
"X10150",0.546875
"X10162",0.52734375
"X10186",0.59375
"X10196",0.640625
"X10197",0.52734375
"X10218",0.6875
"X10219",0.63671875
"X10244",0.59375
"X10247",0.59765625
"X10248",0.5390625
"X10250",0.51953125
"X10277",0.5546875
"X10291",0.5078125
"X10292",0.6640625
"X10294",0.53125
"X10305",0.6015625
"X10307",0.625
"X10342",0.5234375
"X10346",0.5
"X10351",0.6484375
"X10353",0.54296875
"X10358",0.65625
"X10362",0.5859375
"X10365",0.5859375
"X10376",0.63671875
"X10403",0.546875
"X10427",0.53515625
"X10440",0.63671875
"X10455",0.58984375
"X10461",0.50390625
"X10466",0.5625
"X10484",0.5078125
"X10487",0.609375
"X10525",0.51953125
"X10532",0.52734375
"X10537",0.5546875
"X10577",0.671875
"X10588",0.57421875
"X10629",0.8359375
"X10633",0.65234375
"X10661",0.59375
"X10700",0.50390625
"X10727",0.55859375
"X10731",0.51953125
"X10733",0.578125
"X10760",0.515625
"X10793",0.640625
"X10819",0.53125
"X10826",0.63671875
"X10855",0.53515625
"X10877",0.58203125
"X10890",0.60546875
"X10903",0.671875
